Abbott's Babbler,Turdinus abbotti,TC009644
Abbott's Booby,Papasula abbotti,TC000984
Abbott's Starling,Pholia femoralis,TC010138
Abd' Al Kuri Sparrow,Passer hemileucus,TC014513
Abdim's Stork,Ciconia abdimii,TC000946
Aberdare Cisticola,Cisticola aberdare,TC008872
Aberrant Bush-Warbler,Horornis flavolivaceus,TC008225
Abert's Towhee,Melozone aberti,TC011190
Abyssinian Catbird,Parophasma galinieri,TC008950
Abyssinian Crimson-wing,Cryptospiza salvadorii,TC012057
Abyssinian Ground-Hornbill,Bucorvus abyssinicus,TC004607
Abyssinian Ground-Thrush,Geokichla piaggiae,TC009376
Abyssinian Longclaw,Macronyx flavicollis,TC010440
Abyssinian Nightjar,Caprimulgus poliocephalus,TC003727
Abyssinian Roller,Coracias abyssinicus,TC004521
Abyssinian Scimitar-bill,Rhinopomastus minor,TC004550
Abyssinian Siskin,Serinus nigriceps,TC011782
Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus,TC009047
Abyssinian Thrush,Turdus abyssinicus,TC012214
Abyssinian Wheatear,Oenanthe lugubris,TC012657
Abyssinian Woodpecker,Dendropicos abyssinicus,TC004912
Acadian Flycatcher,Empidonax virescens,TC006225
Acorn Woodpecker,Melanerpes formicivorus,TC004864
Acre Antshrike,Thamnophilus divisorius,TC005564
Acre Tody-Tyrant,Hemitriccus cohnhafti,TC013598
Adamawa Turtle-Dove,Streptopelia hypopyrrha,TC002482
Adelaide's Warbler,Setophaga adelaidae,TC010536
Adelie Penguin,Pygoscelis adeliae,TC000720
Afep Pigeon,Columba unicincta,TC002429
Afghan Babbler,Turdoides huttoni,TC009768
Afghan Snowfinch,Montifringilla theresae,TC011919
African Bare-eyed Thrush,Turdus tephronotus,TC009462
African Barred Owlet,Glaucidium capense,TC003542
African Black Duck,Anas sparsa,TC000193
African Black-headed Oriole,Oriolus larvatus,TC007467
African Blue Tit,Cyanistes teneriffae,TC008176
African Blue-Flycatcher,Elminia longicauda,TC008115
African Broadbill,Smithornis capensis,TC005090
African Citril,Serinus citrinelloides,TC011783
African Collared-Dove,Streptopelia roseogrisea,TC002486
African Crake,Crecopsis egregia,TC001735
African Crested-Flycatcher,Trochocercus cyanomelas,TC007555
African Cuckoo-Hawk,Aviceda cuculoides,TC001210
African Cuckoo,Cuculus gularis,TC003225
African Darter,Anhinga rufa,TC001043
African Desert Warbler,Sylvia deserti,TC008964
